frame_index,timestamp_ms,landmark_name,image_x,image_y,image_z,world_x,world_y,world_z,smoothed_x,smoothed_y,smoothed_z,visibility,presence
942,3391801937,nose,0.55996722,0.017575961,-0.092470668,-0.087676831,-0.64737594,-0.079365037,0.55934415,0.018338665,-0.10691974,0.99840176,0.99919087
942,3391801937,left_eye_inner,0.56717533,-0.0035084016,-0.11231791,-0.071517199,-0.67948145,-0.095385686,0.56657604,-0.0028425082,-0.12503984,0.99860448,0.99896598
942,3391801937,left_eye,0.56964403,-0.0034610804,-0.11239915,-0.071123309,-0.67981082,-0.09459082,0.56913165,-0.0028214708,-0.12512667,0.99849665,0.99895871
942,3391801937,left_eye_outer,0.57232594,-0.0031793974,-0.11238407,-0.071412124,-0.68010986,-0.094584525,0.57191562,-0.0025968869,-0.12512005,0.99874133,0.99891329
942,3391801937,right_eye_inner,0.56447911,-0.0042222221,-0.074494056,-0.075479984,-0.6813457,-0.065689892,0.56362179,-0.0034738846,-0.088069,0.99818629,0.99893171
942,3391801937,right_eye,0.56478691,-0.0047238558,-0.074500561,-0.075007811,-0.68228692,-0.066114902,0.56383615,-0.003961329,-0.088070163,0.9974727,0.99884677
942,3391801937,right_eye_outer,0.56509489,-0.0050604115,-0.074498288,-0.075399131,-0.68366319,-0.065378748,0.56405698,-0.004303786,-0.088068377,0.99776888,0.99869162
942,3391801937,left_ear,0.58927512,0.0078156274,-0.14712256,0.023604674,-0.64441752,-0.11910698,0.58881209,0.0081844826,-0.1515424,0.9985311,0.99898952
942,3391801937,right_ear,0.58231884,0.0067118728,0.020724546,-0.0048660152,-0.66097838,0.00078846182,0.58072068,0.0070660796,0.011017593,0.99604154,0.99844956
942,3391801937,mouth_left,0.56499463,0.036432613,-0.10151023,-0.050636049,-0.61453396,-0.086535171,0.56465322,0.03730406,-0.11301008,0.99825543,0.99941003
942,3391801937,mouth_right,0.56219369,0.035646889,-0.052526459,-0.058782272,-0.6171785,-0.050307408,0.561642,0.036497523,-0.06544026,0.99733436,0.9992907
942,3391801937,left_shoulder,0.58927143,0.10773374,-0.26827204,0.014492823,-0.48669708,-0.21573998,0.58825904,0.1085149,-0.2715416,0.99992567,0.99958175
942,3391801937,right_shoulder,0.585693,0.13006961,0.17728683,0.0054641082,-0.48637393,0.12690069,0.58585473,0.13005236,0.17348434,0.99838769,0.99830961
942,3391801937,left_elbow,0.49269468,0.11658654,-0.36557505,-0.28043565,-0.46751061,-0.28367627,0.4926014,0.12965643,-0.36000022,0.99407148,0.99955171
942,3391801937,right_elbow,0.50162399,0.14512239,0.25055256,-0.2608141,-0.45672345,0.18068282,0.50576272,0.16407277,0.2347004,0.12006241,0.99951696
942,3391801937,left_wrist,0.40673241,0.12303439,-0.36527136,-0.49629885,-0.45372438,-0.27472025,0.40751749,0.14020182,-0.35257563,0.97608304,0.99904627
942,3391801937,right_wrist,0.41477755,0.15089595,0.18666668,-0.51115757,-0.4297317,0.13044523,0.41596997,0.16611573,0.16548815,0.2178251,0.99891603
942,3391801937,left_pinky,0.38084409,0.12630759,-0.4154686,-0.53775913,-0.44397089,-0.30926627,0.38091502,0.14494634,-0.40176524,0.95666784,0.99856192
942,3391801937,right_pinky,0.39430475,0.15214406,0.19400762,-0.55517316,-0.43972054,0.14488971,0.39515597,0.16829622,0.17133241,0.22428775,0.99850911
942,3391801937,left_index,0.37886724,0.12283859,-0.39023536,-0.5362367,-0.46090236,-0.28802729,0.37888548,0.14157777,-0.37756745,0.95560926,0.99852812
942,3391801937,right_index,0.39317968,0.15219985,0.14943427,-0.55416715,-0.44435203,0.11720945,0.39399006,0.16798717,0.12694853,0.23091321,0.99825972
942,3391801937,left_thumb,0.38733277,0.12598081,-0.35535756,-0.50641286,-0.4550201,-0.26459572,0.38759161,0.14439702,-0.34289459,0.93254477,0.99864894
942,3391801937,right_thumb,0.40024474,0.15334518,0.16452195,-0.52133995,-0.4273715,0.11539796,0.40118558,0.16931002,0.14342953,0.23386222,0.99848479
942,3391801937,left_hip,0.58299488,0.43189019,-0.14063331,0.016451087,0.00020992768,-0.10137617,0.58081172,0.43313519,-0.1406346,0.99862587,0.99807358
942,3391801937,right_hip,0.57786596,0.43217793,0.1404117,-0.016224276,-0.00095937989,0.10255766,0.57631072,0.43341533,0.14040501,0.99503171,0.99539572
942,3391801937,left_knee,0.57835978,0.68468183,-0.089201167,-0.030483413,0.410878,-0.064064242,0.57753135,0.68564483,-0.09106,0.78834873,0.99970251
942,3391801937,right_knee,0.57667279,0.66841304,0.21926408,-0.032009687,0.38655895,0.17968807,0.57642318,0.66921528,0.2221131,0.25694284,0.99929738
942,3391801937,left_ankle,0.58540303,0.92285544,-0.032390077,0.02299571,0.78475541,-0.045582741,0.58546242,0.92310034,-0.035374649,0.83999264,0.99900323
942,3391801937,right_ankle,0.58067787,0.87900817,0.3403281,0.025830248,0.7663573,0.26666659,0.58083191,0.87926974,0.34316148,0.43838894,0.99960071
942,3391801937,left_heel,0.6013906,0.96595299,-0.031816728,0.024974948,0.83061486,-0.05249523,0.60137681,0.96605203,-0.034916343,0.90465373,0.99753475
942,3391801937,right_heel,0.5886665,0.9123835,0.34984246,0.018819375,0.81340039,0.27183071,0.58900542,0.91275776,0.35255021,0.55809796,0.99920839
942,3391801937,left_foot_index,0.52863497,0.95731664,-0.13888547,-0.087083302,0.83900261,-0.14012255,0.52855004,0.9576225,-0.14111297,0.85001731,0.99796665
942,3391801937,right_foot_index,0.53040385,0.90315557,0.29120502,-0.091439769,0.84573078,0.2268105,0.53070117,0.90325423,0.29526529,0.62558508,0.99944574
943,3391802046,nose,0.56092328,0.017824056,-0.049671594,-0.09978883,-0.65759683,-0.041764271,0.56043696,0.017982537,-0.067302038,0.99832803,0.99902892
943,3391802046,left_eye_inner,0.56690043,-0.0009622213,-0.075108565,-0.083843656,-0.68829548,-0.063204572,0.56679879,-0.0015513649,-0.090753356,0.99854487,0.99885011
943,3391802046,left_eye,0.56950134,-0.00072568865,-0.075180486,-0.083473645,-0.68859208,-0.06242229,0.56938551,-0.001382316,-0.090829073,0.99846202,0.99888414
943,3391802046,left_eye_outer,0.5712868,-0.0004462025,-0.075155586,-0.083765931,-0.68889624,-0.062411856,0.5714838,-0.0011199946,-0.090809053,0.99870628,0.99887067
943,3391802046,right_eye_inner,0.56552237,-0.0019861709,-0.03540092,-0.081939965,-0.68996519,-0.031277355,0.56493071,-0.0024493021,-0.051796702,0.99803609,0.99868983
943,3391802046,right_eye,0.56654608,-0.0024740321,-0.03539855,-0.081485003,-0.69092739,-0.031658869,0.56570255,-0.0029369911,-0.051793929,0.99732363,0.99856782
943,3391802046,right_eye_outer,0.56767631,-0.0029567077,-0.035412904,-0.081900552,-0.69229144,-0.030850183,0.56654979,-0.0033759858,-0.051801919,0.99764436,0.99834299
943,3391802046,left_ear,0.58534795,0.010503693,-0.13221866,0.0082841087,-0.64860451,-0.10791658,0.58651014,0.0097256181,-0.1387016,0.99846733,0.99901223
943,3391802046,right_ear,0.58261806,0.0086896969,0.043249808,0.0018543049,-0.66478801,0.02124075,0.58199899,0.0081599553,0.032733325,0.99594164,0.99786001
943,3391802046,mouth_left,0.56523722,0.03657167,-0.066213354,-0.064681664,-0.62373912,-0.055673894,0.56505288,0.036802847,-0.080984596,0.99814427,0.99932277
943,3391802046,mouth_right,0.56413305,0.035924159,-0.015139731,-0.065126136,-0.62613249,-0.016980948,0.56335326,0.036103642,-0.030885534,0.99704075,0.99902654
943,3391802046,left_shoulder,0.58618206,0.10527261,-0.25358775,0.0051591587,-0.4901886,-0.2007664,0.58688101,0.10636371,-0.25962964,0.99992031,0.99965298
943,3391802046,right_shoulder,0.5901444,0.13001302,0.1896555,0.0097620962,-0.49211514,0.13797051,0.58869569,0.1300263,0.18419416,0.99820077,0.99714714
943,3391802046,left_elbow,0.49133775,0.10763188,-0.32991129,-0.28576618,-0.47733811,-0.26088849,0.49174542,0.11473737,-0.33961848,0.99396294,0.99969757
