frame_index,timestamp_ms,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_tilt_proxy,left_wrist_speed,right_wrist_speed,left_ankle_speed,right_ankle_speed,pelvis_speed,shoulder_center_speed,left_elbow_angular_velocity,right_elbow_angular_velocity,left_knee_angular_velocity,right_knee_angular_velocity,left_hip_angular_velocity,right_hip_angular_velocity,motion_energy_proxy,pose_detected,visibility_mean,missing_ratio
942,3391801937,132.71387,,176.66962,169.11143,169.13574,154.60402,94.971297,,1.5498729,0.46344332,0.60962807,0.052493974,0.049872216,0.015177128,0.063186545,36.791651,,-3.8643874,-9.1819695,11.749053,-2.0735588,0.87116376,1,0.79011393,0.03030303
943,3391802046,125.6026,,177.21871,170.1036,171.00586,150.44042,98.485281,,1.1635952,0.35224882,0.42208195,0.10189006,0.10874187,0.026153956,0.10446494,-65.241006,,5.0375387,9.102433,17.157015,-38.198194,0.712218,1,0.79611011,0.03030303
944,3391802140,123.57291,,177.27655,169.30819,176.32551,150.07417,102.30146,,0.52234793,0.11831085,0.14574266,0.66021116,0.053257984,0.032351669,0.028947718,-21.592453,,0.61525322,-8.4617632,56.592018,-3.8962146,0.58712637,1,0.79998621,0.03030303
945,3391802234,135.94863,,176.45326,169.41183,177.78017,151.35708,105.98043,,0.29276346,0.4876679,0.05386638,0.0087321772,0.26558947,0.016114151,0.070114164,131.65659,,-8.7583526,1.102471,15.475176,13.647967,0.55942568,1,0.80432292,0.03030303
946,3391802343,118.11089,,176.84664,169.03629,177.1219,151.46473,106.26643,,0.31523191,0.29167286,0.10571617,0.088937622,0.0077006135,0.025521961,0.014159037,-163.64896,,3.6089952,-3.4452473,-6.0392408,0.9875629,0.37188286,1,0.80767301,0.03030303
947,3391802437,109.9111,,176.10471,168.44847,176.48292,148.95689,107.13993,,0.90792395,0.093087616,0.35563588,0.32905229,0.31201081,0.040376551,0.082300757,-87.231804,,-7.8928627,-6.2534917,-6.7976507,-26.679145,0.69745072,1,0.8098581,0.03030303
948,3391802546,110.15254,109.86127,174.46085,168.52991,174.32457,147.47981,107.36115,95.370493,1.7777699,0.095954834,0.059053593,0.23642519,0.27190011,0.072273672,0.1086166,2.2150398,,-15.081284,0.74718227,-19.801386,-13.551143,0.44269264,1,0.81250053,0
949,3391802640,112.77941,104.84753,171.35939,169.46224,170.86232,145.22842,104.28269,94.180226,3.0591567,0.1766802,0.27913908,0.065252586,0.052464446,0.084421255,0.088712818,27.945464,-53.337697,-32.994262,9.9184425,-36.832414,-23.950994,0.48514424,1,0.81538776,0
950,3391802750,111.69623,100.19218,167.852,168.10433,166.25646,142.58662,101.47228,91.371715,4.6310732,0.18063982,0.41480633,0.24296938,0.067265292,0.091628503,0.072193147,-9.847152,-42.321361,-31.885346,-12.344628,-41.871408,-24.016361,0.69333045,1,0.81623334,0
951,3391802843,107.49491,101.90739,162.97732,,161.43061,,98.880005,88.678271,6.302373,0.33740791,0.41801982,0.11084333,0.38643566,0.11187712,0.14076927,-45.175495,18.443118,-52.41596,,-51.890919,,0.92708742,1,0.81485581,0.03030303
