video,pair,cpu_duration_sec,gpu_duration_sec,duration_speedup,cpu_avg_infer_ms,gpu_avg_infer_ms,infer_speedup,cpu_e2e_ms,gpu_e2e_ms,e2e_speedup,cpu_success_rate,gpu_success_rate,cpu_keypoint_jitter,gpu_keypoint_jitter
农夫行走.mp4,yolo_pose,40.7,20.3,2.0049261083743843,104.83287372203036,41.569458922804,2.5218724621051436,106.05273602110168,43.487829283218495,2.4386762404355355,1.0,1.0,0.002723179790717229,0.0027232229116869906
划船机.mp4,yolo_pose,64.2,42.6,1.5070422535211268,88.43736796370649,37.744118952105055,2.343076760539252,90.09803847766307,40.42824746284168,2.22859124824725,1.0,1.0,0.009428899394696122,0.009428642150973065
投掷药球.mp4,yolo_pose,25.6,14.6,1.7534246575342467,123.24285929187619,51.98197308606629,2.370876901648647,124.48308622657225,53.937928298295574,2.307895207582637,1.0,1.0,0.007271100530312784,0.007271299678679801
拉雪橇.mp4,yolo_pose,50.7,22.8,2.223684210526316,122.22933734020958,40.045778626149676,3.0522402493728635,123.44523313937776,41.976566552689455,2.9408130125275473,1.0,1.0,0.009012057968114108,0.009012007609227315
推雪橇.mp4,yolo_pose,19.9,18.8,1.0585106382978722,50.44745546218898,44.65550891791097,1.129702844836573,51.16524251728406,46.629779346226925,1.097265379220031,1.0,1.0,0.011778049356453123,0.011776819237587955
波比跳远.mp4,yolo_pose,62.1,20.5,3.029268292682927,100.26655448767953,24.518853096205913,4.089365603450471,101.43278682318157,25.639082435258253,3.9561785051907172,0.9760479041916168,0.9760479041916168,0.008568890752758898,0.008568498792162203
滑雪机.mp4,yolo_pose,36.9,12.6,2.9285714285714284,137.6844417186255,60.371602935155906,2.280615968843994,138.95561070027716,62.43803398683667,2.225496253286452,1.0,1.0,0.010793700109204765,0.010794008098011667
负重箭步蹲.mp4,yolo_pose,14.7,13.9,1.0575539568345322,73.4558699099361,55.90188795966761,1.3140141163556662,74.29956541137588,57.89085040289096,1.2834422865494044,1.0,1.0,0.02047541572968356,0.020475557210639886
农夫行走.mp4,yolo_roi_mediapipe,27.4,25.0,1.0959999999999999,31.050358240426792,39.21955556417455,0.791706019962909,60.306835366155866,56.87528484428822,1.0603346520595451,1.0,1.0,0.0029080180811939327,0.002909940407200476
划船机.mp4,yolo_roi_mediapipe,53.2,50.6,1.051383399209486,32.83693047978886,37.79923515230621,0.868719442271186,61.56085586826521,54.452030859465594,1.1305520638366395,1.0,1.0,0.015765072371962063,0.01577342729104217
投掷药球.mp4,yolo_roi_mediapipe,12.3,14.9,0.825503355704698,16.806431031175727,33.030317219552295,0.5088183355752685,42.628926218583665,60.278587614924746,0.7071984912935967,1.0,1.0,0.007179173040240325,0.0071721545653990635
拉雪橇.mp4,yolo_roi_mediapipe,30.2,26.9,1.1226765799256506,30.298297283666052,35.384315357779165,0.8562634878564928,59.4101587453498,52.017577131368576,1.1421169924026164,1.0,1.0,0.0101255348270796,0.0101255348270796
推雪橇.mp4,yolo_roi_mediapipe,25.1,22.4,1.1205357142857144,33.315000375016375,39.4342457479703,0.8448240797589266,65.71486840205576,61.870699574952184,1.0621322993519189,0.9959514170040485,0.9959514170040485,0.014571958538107834,0.014703332221362742
波比跳远.mp4,yolo_roi_mediapipe,47.0,39.6,1.1868686868686869,33.59061917252913,37.15945549305536,0.9039588639507056,69.79841058571895,54.05357704328711,1.2912819910109388,0.9780439121756487,0.9820359281437125,0.008940327643022467,0.009281312855824638
滑雪机.mp4,yolo_roi_mediapipe,19.6,13.7,1.4306569343065696,31.85183495210791,37.1406116947821,0.8576012483010016,91.36870485341665,74.89892428071754,1.2198934194431308,1.0,1.0,0.012878949046154711,0.012956879071520792
负重箭步蹲.mp4,yolo_roi_mediapipe,19.8,18.6,1.064516129032258,42.230496998820314,45.83629399986195,0.9213331470242229,96.02974211671075,93.77358193838394,1.024059656586535,1.0,1.0,0.014969541767263186,0.014969541767263186
