frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms
11,367,1,0.752296295017004,170.61933933825046,171.42785730533893,128.333093750055,141.0676326444179,88.94950744504472,,25.33746330789812,0.012487588097607527,-0.03205484853574759,0.8227504277507796,0.510789577880897,0.442037133870026,-0.15299797258591938,,,0.009190001023209863,170.61933933825046,128.333093750055,141.0676326444179,0.6544501204757002,0.7138687511207766,0.3671290352860937,,-0.059418630645076465,,0.038255737894485185,0.004488120850328226,0.00032033639179638614,88.94950744504472,88.94950744504472,-0.1565943309203646,,rowing,finish,0,,,,,,,finish,finish,11,,,,,,,,,,,,medium,rowing_default,,,,,0,88.94950744504472,267
12,400,1,0.7519293152727187,170.67457738577932,171.61336055888776,126.85417107892349,139.46683140978587,93.27408948614001,,24.06981580924661,0.01303334878244275,-0.03201081962063229,0.8194750320336902,0.5100139847934455,0.4431367255153461,-0.14802090251449557,,,0.009830113231719433,170.67457738577932,126.85417107892349,139.46683140978587,0.6543851492452639,0.7136102984221028,0.3656428203416269,,-0.059225149176838854,,0.03873789115364395,0.00465389761897532,0.0016118933031835597,93.27408948614001,93.27408948614001,-0.16324351059067893,,rowing,finish,0,,,,,,,finish,finish,12,,,,,,,,,,,,medium,rowing_default,,,,,0,93.27408948614001,300
13,433,1,0.7471216048579663,170.76491895865743,171.52824717496432,125.1517809176202,137.51256197213115,96.78310121489864,,22.641496468942698,0.013378520474385107,-0.03195221049657073,0.815757094712745,0.5092508991595205,0.44446094566167804,-0.14326299356855243,,,0.010683210595195931,170.76491895865743,125.1517809176202,137.51256197213115,0.6543197944196764,0.7136755704280004,0.36418200389936456,,-0.05935577600832409,,0.03893632275405003,0.005117746762939624,0.0026520144848600586,96.78310121489864,96.78310121489864,-0.1695401624372373,,rowing,finish,0,,,,,,,finish,finish,13,,,,,,,,,,,,medium,rowing_default,,,,,0,96.78310121489864,333
14,467,1,0.7430246933363378,170.71300932017192,171.66093907023267,123.51354004577973,135.3235858035517,99.94611240555156,,21.41597677044297,0.013248205994809742,-0.031944014466761685,0.8125381643342552,0.5083487951566671,0.4466154620894804,-0.13861407511750534,,,0.011664498241212367,170.71300932017192,123.51354004577973,135.3235858035517,0.6542107859276505,0.7138452017489393,0.3624868043856837,,-0.05963441582128881,,0.03898737884730385,0.005134570751003949,0.0039002984410815857,99.94611240555156,99.94611240555156,-0.17570601665524715,,rowing,finish,0,,,,,,,finish,finish,14,,,,,,,,,,,,medium,rowing_default,,,,,0,99.94611240555156,367
15,500,1,0.7396318309474736,170.0753665021229,170.42961347120425,121.95618064311194,133.7344056772226,103.03113325273621,,19.950370075936707,0.013152618843037188,-0.03180155621067917,0.8089088034038587,0.5075514419646755,0.448559454844987,-0.13423162232493469,,,0.01193662767968978,170.0753665021229,121.95618064311194,133.7344056772226,0.6540169852602773,0.7140644049550947,0.36108589866907365,,-0.06004741969481742,,0.039116817344442036,0.005200890100816161,0.004050684689146984,103.03113325273621,103.03113325273621,-0.1811765517931272,,rowing,finish,0,,,,,,,finish,finish,15,,,,,,,,,,,,medium,rowing_default,,,,,0,103.03113325273621,400
16,533,1,0.7305322547908872,170.28082579607388,168.6214439948438,120.04624286677017,132.30196002007412,106.64937757596755,,18.352896429769462,0.013192735932673278,-0.03162944631983294,0.8051658955126739,0.5070593731016242,0.45030831097222285,-0.13048527365003693,,,0.012279875601791373,168.6214439948438,120.04624286677017,132.30196002007412,0.6542686905131391,0.7139653604922888,0.3598500556901095,,-0.059696669979149686,,0.03912443329442537,0.0052755923505028324,0.004168141496660839,106.64937757596755,106.64937757596755,-0.18634445229924565,,rowing,finish,0,,,,,,,finish,finish,16,,,,,,,,,,,,medium,rowing_default,,,,,0,106.64937757596755,433
17,567,1,0.7286573369055986,170.53432568624532,167.2888064646748,117.37531217987778,129.82843618191356,110.4215936037831,,16.081079195173903,0.013210951272111715,-0.031413777054721974,0.7999068932740714,0.5065451733412205,0.45139113980451473,-0.12670728193438355,,,0.014880002508535082,167.2888064646748,117.37531217987778,129.82843618191356,0.6544472818027869,0.7135353941367736,0.35864306487965425,,-0.0590881123339867,,0.03894515831648581,0.005314271071315432,0.006175964480689598,110.4215936037831,110.4215936037831,-0.19140929915216598,,rowing,finish,0,,,,,,,finish,finish,17,,,,,,,,,,,,medium,rowing_default,,,,,0,110.4215936037831,467
18,600,1,0.7275566942989826,170.82374354856805,166.12835336356446,114.47904267292864,127.63134382190209,114.17807950581319,,13.790067618261068,0.01355158235750824,-0.03140088961604874,0.7947540216070977,0.5062422313367168,0.4524588788512289,-0.12443172750719303,,,0.016679620184395314,166.12835336356446,114.47904267292864,127.63134382190209,0.6548777446845381,0.7126715253234837,0.3576067179888955,,-0.05779378063894558,,0.03883328751806203,0.0053794780744478065,0.007435948719832657,114.17807950581319,114.17807950581319,-0.19531553517522796,,rowing,finish,0,,,,,,,finish,finish,18,,,,,,,,,,,,medium,rowing_default,,,,,0,114.17807950581319,500
19,633,1,0.7203806666657329,171.02349874895356,165.05547786182294,110.86015822831934,124.73741231291908,116.91510149279692,,11.420170977901368,0.013065979134204117,-0.03245348399339864,0.7892239410418941,0.5061173262123828,0.4539428144443151,-0.12396781980662153,,,0.0178775839242722,165.05547786182294,110.86015822831934,124.73741231291908,0.6558706601347164,0.7113921881408757,0.35636399229004917,,-0.05552152800615928,,0.03864966452353073,0.00600562500360294,0.0074940401218591335,116.91510149279692,116.91510149279692,-0.198298579601847,,rowing,finish,0,,,,,,,finish,finish,19,,,,,,,,,,,,medium,rowing_default,,,,,0,116.91510149279692,533
20,667,1,0.7219316903501749,170.96965442286213,164.73015731324216,106.62835980166577,121.92524486114732,118.97363119156499,,8.841739398102286,0.01269064380704502,-0.033569091163854495,0.783452507390922,0.5061488084047008,0.45546660909825004,-0.12406497598675974,,,0.019553173434420045,164.73015731324216,106.62835980166577,121.92524486114732,0.65695182108361,0.7096357252211897,0.3553457957257916,,-0.05268390413757962,,0.03826976702817093,0.00636573819321627,0.007902875427253384,118.97363119156499,118.97363119156499,-0.20067091685650837,,rowing,finish,0,,,,,,,finish,finish,20,,,,,,,,,,,,medium,rowing_default,,,,,0,118.97363119156499,567
