frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean,body_center_delta_x,feet_stagger_score,step_count,ankle_delta,drive_score
1,33,1,0.8878330364823341,82.12954067083636,111.9263398544451,29.844566667489687,71.8436398150163,136.05549898561821,126.74502227836228,-103.67154266901098,0.0337144136428833,0.014095813035964966,0.507988415658474,0.49920033663511276,0.26918673515319824,0.25653961300849915,0.2938079237937927,0.22900615555479592,0.09378863660727073,82.12954067083636,29.844566667489687,71.8436398150163,0.4813542813062668,0.6237341463565826,0.5170463919639587,0.7565280497074127,-0.14237986505031586,-0.23948165774345398,0.06678891181945801,0.08176052570343018,0.09295213222503662,126.74502227836228,136.05549898561821,-0.23065680265426636,-0.2483065128326416,sled_pull,unknown,0,OVER_LEAN_BACK,后仰过多，保持身体稳定，避免失去平衡,,,,,ready,unknown,1,,,,,,,,,,,,medium,sled_pull_default,,,,,,131.40026063199025,,0,,0.051364123821258545,97.02794026264073,,,,,
2,67,1,0.8924610950052738,80.54701933608733,108.74224655169667,26.806286904551005,64.82409938222136,137.67311280328758,128.11207086397738,-103.5061968653275,0.032962868582210335,0.013839676681662397,0.5080486783036033,0.4992685393402294,0.26917516581854845,0.2561150152586817,0.2914311025145958,0.21245016362031602,0.10001586311054135,80.54701933608733,26.806286904551005,64.82409938222136,0.4816775863230093,0.6224621180360733,0.5168594923574494,0.755450645209648,-0.14078453171306404,-0.23859115285219856,0.06753153292949873,0.08198074897483146,0.09917769774926696,128.11207086397738,137.67311280328758,-0.2304947051745155,-0.24668760052988173,sled_pull,unknown,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,unknown,2,,,,,,,,,,,,medium,sled_pull_default,,,,,,132.89259183363248,,0,,0.04915576393757659,94.64463294389199,,,,,
3,100,1,0.8944190144538879,80.33264973463407,107.19844680892085,25.136951465171347,61.17993815089535,140.8358622566883,126.21958917897018,-103.16364138393418,0.027830591724621313,0.012263010282316817,0.5094845009958403,0.4986930133310695,0.26926555170136796,0.255904332149759,0.2862061599526672,0.20023223553175606,0.10762056419344045,80.33264973463407,25.136951465171347,61.17993815089535,0.4817744454963358,0.6202074312068317,0.5156115811658033,0.752829691547549,-0.13843298571049595,-0.23721811038174567,0.0685584531021792,0.08375328748092394,0.1065253895201831,126.21958917897018,140.8358622566883,-0.22985098720144373,-0.24458523356204745,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,3,,,,,,,,,,,,medium,sled_pull_default,,,,,,133.52772571782924,,0,,0.04256483808522504,93.76554827177746,,,,,
4,133,1,0.8997513093054295,77.549356855728,105.34095813025762,22.39631314056573,57.74456648484084,142.2269688440893,124.86277459403621,-102.39643767452775,0.021337580027840523,0.009324133772058426,0.5115922820026984,0.49845255844192654,0.26792836825794625,0.25058207653394815,0.2787031312363046,0.18074456927611443,0.11448732593145564,77.549356855728,22.39631314056573,57.74456648484084,0.4826984501833328,0.6170181608268565,0.5142066667005204,0.7473410540684592,-0.13431971064352366,-0.2331343873679388,0.06975318131533524,0.08702320363780133,0.11290750956827961,124.86277459403621,142.2269688440893,-0.22508058314465165,-0.24118819159122595,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,4,,,,,,,,,,,,medium,sled_pull_default,,,,,,133.54487171906277,,0,,0.0374451884744148,91.44515749299282,,,,,
5,167,1,0.9040290974080563,74.49367492043874,102.64514913521491,19.965914768602648,54.38968304142741,144.19828779557912,121.87504529831585,-101.27723984880228,0.015479510020528565,0.006271581876452022,0.5135963445532008,0.4985485672955184,0.26736802925262054,0.2386033172196746,0.2714804574554926,0.16445867654441576,0.11993037212512371,74.49367492043874,19.965914768602648,54.38968304142741,0.48433774599728324,0.6147145091969565,0.5127593885937535,0.7393796333348669,-0.13037676319967323,-0.22662024474111342,0.07136135002710935,0.0943525537835479,0.11804766640999775,121.87504529831585,144.19828779557912,-0.21478563869524253,-0.238454850786984,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,5,,,,,,,,,,,,medium,sled_pull_default,,,,,,133.0366665469475,,0,,0.03914872211226994,88.56941202782681,,,,,
6,200,1,0.9088203497231007,70.62203442619175,97.80359067217157,18.091416002126476,48.573568575518756,145.551966194943,121.73165259254337,-99.74783670150546,0.012526219785979129,0.004555941071011145,0.5152917642633623,0.4980470834241891,0.2684910686583706,0.22715736194363884,0.26562406705688146,0.14983766919060193,0.12320473234209396,70.62203442619175,18.091416002126476,48.573568575518756,0.4858682621388911,0.6127521063337117,0.510225904709487,0.7322589766391513,-0.12688384419482057,-0.22203307192966426,0.07277849606831371,0.09905302437229764,0.12112902251923956,121.73165259254337,145.551966194943,-0.20678485873052704,-0.2372812851288017,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,6,,,,,,,,,,,,medium,sled_pull_default,,,,,,133.6418093937432,,0,,0.04302264618425378,84.21281254918165,,,,,
7,233,1,0.9117151536047459,67.92853844664172,95.00045882755572,16.82829361365532,44.977069694495455,147.5074485173671,120.70963759482285,-98.02504316371791,0.010695908646309501,0.003558945063613757,0.5169404209643438,0.4978070060291056,0.2698317427564675,0.2154401783029696,0.2552469627737177,0.1366307274350914,0.12498547187459609,67.92853844664172,16.82829361365532,44.977069694495455,0.48784832451211285,0.6112934063940793,0.5077656875460985,0.7231918950504566,-0.1234450818819664,-0.21542620750435804,0.0739558730383646,0.10120862382884696,0.1228111483803268,120.70963759482285,147.5074485173671,-0.19909129706033185,-0.23176111794838425,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,7,,,,,,,,,,,,medium,sled_pull_default,,,,,,134.10854305609496,,0,,0.0433657295343618,81.46449863709873,,,,,
8,267,1,0.9045595008134842,65.63727549820308,92.60454320247935,16.076990099472305,42.6410968594882,148.90924066698523,119.30942499672284,-95.59587241671281,0.008357632598662255,0.002062118288767889,0.5193121995550353,0.4971729485274946,0.27273781690787346,0.20034821710640596,0.24420785851683294,0.12686232625591837,0.1259381050560041,65.63727549820308,16.076990099472305,42.6410968594882,0.49027615464283736,0.6103552332254915,0.5040697424121517,0.7125541924544567,-0.1200790785826541,-0.20848445004230498,0.07542018483323229,0.1044487279842115,0.1237581004039293,119.30942499672284,148.90924066698523,-0.18970238649203877,-0.22726651359257138,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,8,,,,,,,,,,,,medium,sled_pull_default,,,,,,134.10933283185403,,0,,0.045921759699194875,79.12090935034121,,,,,
9,300,1,0.9143420234322548,66.2006783152314,91.92098053035713,15.821413808658674,40.85814219287285,151.11609381505087,113.6230554591585,-91.88035433960147,0.007419761835582819,0.0011613848072670166,0.5226185759976907,0.4949649011780608,0.2786183107238819,0.18862502784616586,0.22679574651897286,0.11382920571916327,0.12625006265540104,66.2006783152314,15.821413808658674,40.85814219287285,0.4926461940675923,0.6079236766222814,0.4972836082885293,0.7003565812501618,-0.11527748255468911,-0.20307297296163246,0.0741001117022254,0.10683966809936422,0.12397580607924046,113.6230554591585,151.11609381505087,-0.18711680213938678,-0.219029143783878,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,9,,,,,,,,,,,,medium,sled_pull_default,,,,,,132.36957463710468,,0,,0.03933210348007399,79.06082942279426,,,,,
10,333,1,0.9147590026259422,65.35839304208618,89.69478024334457,16.016175615597458,39.29752939524165,150.2139286489116,110.3388719829897,-87.70721550415391,0.006232258049754721,-0.0004453757132605619,0.5261000314043063,0.4932009373742957,0.28549896052042173,0.17536936884074997,0.21009544695949106,0.10633128487907538,0.12613080250192799,65.35839304208618,16.016175615597458,39.29752939524165,0.4960214822235363,0.6074665096925446,0.4903803925250551,0.6887538901236568,-0.11144502746900825,-0.19837349759860173,0.07322294089369157,0.10920191835018307,0.12352713532395083,110.3388719829897,150.2139286489116,-0.18434927542073873,-0.21239771977646454,sled_pull,ready,0,NOT_STANDING | OVER_LEAN_BACK,拉雪橇时需要保持站立，不要坐下或跪拉 | 后仰过多，保持身体稳定，避免失去平衡,,,,,ready,ready,10,,,,,,,,,,,,medium,sled_pull_default,,,,,,130.27640031595064,,0,,0.03428070240548042,77.52658664271537,,,,,
