frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean,body_center_delta_x,feet_stagger_score
1,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burpee_broad_jump,unknown,0,LOW_VISIBILITY,请保证全身入镜，尤其是手腕、肩、髋、膝、脚踝,,,,,unknown,unknown,1,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,,,,,,,
2,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,burpee_broad_jump,unknown,0,LOW_VISIBILITY,请保证全身入镜，尤其是手腕、肩、髋、膝、脚踝,,,,,unknown,unknown,1,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,,,,,,,
3,100,1,0.9154333434998989,107.32928344302033,124.33623024365045,75.83850696906849,105.96426426336606,121.06358288334845,119.26001335227964,148.7822315955162,0.006000250577926636,0.004222750663757324,0.5696569383144379,0.2788400426506996,0.07335133850574493,0.14724507927894592,0.15139156579971313,0.10478017591080918,0.11503899969924955,107.32928344302033,75.83850696906849,105.96426426336606,0.25442785024642944,0.32882148027420044,0.3032522350549698,0.40374617278575897,-0.074393630027771,-0.10049393773078918,0.04071474075317383,0.07865118980407715,0.09570866823196411,119.26001335227964,121.06358288334845,-0.09930944442749023,-0.10167843103408813,burpee_broad_jump,unknown,0,,,,,,,chest_down,unknown,1,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,,,,,,,0.06382650136947632
4,133,1,0.9199635423719883,107.40629338970595,125.78654037216334,75.96208422693248,107.45298955451491,117.43755751381782,117.43393501162349,149.3036843919959,0.005599254325965198,0.004041779292136681,0.5713050100115009,0.2807170944653909,0.07867585997392763,0.14311802079670252,0.14347900761100607,0.10632362295734091,0.10713260535264882,107.40629338970595,75.96208422693248,107.45298955451491,0.25820259230860587,0.332022292860879,0.30323159662217586,0.40150110651246024,-0.0738197005522731,-0.09826950989028438,0.03990385392308621,0.07404752378298081,0.08785938607681368,117.43393501162349,117.43755751381782,-0.0988677540000468,-0.09767126578052183,burpee_broad_jump,unknown,0,,,,,,,chest_down,unknown,2,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,,,,,,,0.0613035350355246
5,167,1,0.9088492552936077,104.95139403479673,129.63384896154147,73.97254855148559,108.73298435835996,113.41980381951645,115.37731648944158,150.25062097583512,0.005608342034106136,0.004518352151713212,0.5724189184576018,0.28251054679729143,0.0847038072314115,0.14050537239644503,0.13701949094577237,0.10766343123629839,0.09685441868884184,104.95139403479673,73.97254855148559,108.73298435835996,0.2616337758402849,0.3330980836511214,0.30338731775429795,0.40039620751139354,-0.07146430781083651,-0.0970088897570956,0.03938734337721303,0.07465564653857282,0.0802635746738279,113.41980381951645,115.37731648944158,-0.09929682542362847,-0.09472095409056287,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,3,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,0,,,,,,0.054208274277386226
6,200,1,0.8984293474256992,103.26358832311918,132.19207823823328,72.62903328684274,110.24460564925401,114.56990229161295,108.78868511404848,151.9982089374982,0.0058171723804411185,0.0044702279235423045,0.5740101178503921,0.28545741105694455,0.0897358892186545,0.13808425500737884,0.13115033180709162,0.10864249275421146,0.09075103159293718,103.26358832311918,72.62903328684274,110.24460564925401,0.26651596690091567,0.3349530583077544,0.30439885521297344,0.40113326030815094,-0.06843709140683873,-0.0967344050951775,0.03912272475345976,0.07631886838479149,0.07402584440093128,108.78868511404848,114.56990229161295,-0.10087483892377049,-0.09259397126658447,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,4,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,33,,,,,,0.05249689605978042
7,233,1,0.8900799410045147,102.20229126576197,134.18286819663226,71.90663647281328,111.05037922770686,113.96265513790267,108.58809289560394,154.55159974263577,0.005930114008359269,0.0049055074143318726,0.5751728341772921,0.2884040516828217,0.09293853434689589,0.1385684717496455,0.12929586230462647,0.10576372734554819,0.08786612401868717,102.20229126576197,71.90663647281328,111.05037922770686,0.2701639830292205,0.33611084921033835,0.30664412033642285,0.4040961500563565,-0.06594686618111784,-0.09745202971993366,0.03901732352389474,0.07866754368032193,0.07415610342177621,108.58809289560394,113.96265513790267,-0.10260063773945693,-0.09230342170041049,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,5,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,66,,,,,,0.047130967265335666
8,267,1,0.8821173575520516,100.54220387814466,135.04570079592153,71.20615519595107,111.84398968991064,114.47526860574187,108.41366418087931,158.37642026620213,0.00664503882527615,0.005058959526406989,0.5768718940126104,0.2932290700863915,0.09281738558687792,0.13969809695607036,0.12977038949583586,0.1001878436847508,0.08210182600115289,100.54220387814466,71.20615519595107,111.84398968991064,0.2748410691633921,0.3377333842376962,0.31161707100939084,0.4095753123893452,-0.0628923150743041,-0.09795824137995435,0.03889874280016126,0.08040492879338353,0.07104730662662824,108.41366418087931,114.47526860574187,-0.10371513475950626,-0.09220134800040261,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,6,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,100,,,,,,0.04114596035852669
9,300,1,0.9041447341442108,99.0073043469149,114.23845673649038,70.46935021092825,93.3961438829955,115.19493586784725,109.13772217231215,161.9257754196988,0.006741262375836983,0.005423209058423655,0.5786591850144028,0.2973910735348139,0.09223780076134372,0.14112959766565047,0.13069376879529937,0.09660586702868919,0.07371818635738703,99.0073043469149,70.46935021092825,93.3961438829955,0.2787083258356365,0.3540707418864815,0.31607382123399136,0.41462000906611146,-0.07536241605084504,-0.0985461878321201,0.03853315784163696,0.06325448116520731,0.06451185692972612,109.13772217231215,115.19493586784725,-0.10442312892600228,-0.09266924673823784,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,7,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,133,,,,,,0.03567339786593071
10,333,1,0.890610545873642,97.68840520931087,112.00817839947732,69.56920031624827,90.41859540347689,114.53380248171653,110.940504700508,166.3930755795154,0.005922880007893259,0.005326603150298554,0.5812643331742691,0.30099147560030803,0.09111186208189634,0.1431298990982951,0.13290881725838083,0.09575171912320754,0.06666761379116011,97.68840520931087,69.56920031624827,90.41859540347689,0.2814067339073473,0.35746215130521286,0.3205762172932688,0.41942609208568526,-0.07605541739786559,-0.09884987479241647,0.038595255670515034,0.06173841078627683,0.0593012052099382,110.940504700508,114.53380248171653,-0.10425855414117091,-0.09344119544366195,burpee_broad_jump,chest_down,0,,,,,,,chest_down,chest_down,8,,,,,,,,,,,,medium,burpee_broad_jump_default,,,,,,,166,,,,,,0.03046207132248363
