frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms
1,33,1,0.9699300490319729,55.560838720113814,75.25330155135906,70.6183010439691,86.18084578160303,78.75572785080156,93.69059195899042,-3.2172880238760877,0.004219263792037964,0.0060912370681762695,0.16358132287859917,0.369130440056324,0.34792380034923553,-0.010395914316177368,0.0011134743690490723,0.11503165599998316,0.027952750287429752,55.560838720113814,70.6183010439691,86.18084578160303,0.4418630003929138,0.5440567135810852,0.2963978797197342,0.43722178041934967,-0.10219371318817139,-0.14082390069961548,0.03986300528049469,0.04494066536426544,0.020628303289413452,78.75572785080156,93.69059195899042,-0.1341332197189331,-0.14751458168029785,farmers_carry,unknown,0,,,,,,,ready,unknown,1,,,,,,,,,,,,medium,farmers_carry_default,-0.010395914316177368,0.545489507354796,False,0
2,67,1,0.9704596512019634,52.58998564496684,73.250970877278,67.01044096578246,83.52677616651383,78.65809351115433,94.77839858222097,-3.2548481972492613,0.004416256987566336,0.006210339056366725,0.16359654023581888,0.3691985123807945,0.34781200110505434,-0.010283590092168417,0.001291576411514273,0.11507015159378522,0.02789271313003465,52.58998564496684,67.01044096578246,83.52677616651383,0.44180331300441195,0.543731906591813,0.2965937117571771,0.43730730616408486,-0.10192859358740108,-0.14071359440690778,0.03988786629249382,0.04498743344650308,0.0206966536851226,78.65809351115433,94.77839858222097,-0.13402897012066628,-0.14739821869314934,farmers_carry,unknown,0,,,,,,,ready,unknown,2,,,,,,,,,,,,medium,farmers_carry_default,-0.010283590092168417,0.5455689476802945,False,34
3,100,1,0.9710673578083515,53.0314868194469,74.66434805932822,65.32308601750326,83.99845483426733,78.6428595868641,96.40091163896226,-3.3726482782781466,0.004548155649445332,0.006368304473925897,0.16369308281320394,0.36926752835427173,0.34869499624228967,-0.010134973371184824,0.0016255270342581498,0.11517868149777827,0.027029525268904262,53.0314868194469,65.32308601750326,83.99845483426733,0.441725259631195,0.5434780955221382,0.29680979707734845,0.4374705364627316,-0.1017528358909432,-0.14066073938538315,0.03981941123780006,0.04502699040760247,0.021278384042469713,78.6428595868641,96.40091163896226,-0.13387041477042147,-0.147451064000345,farmers_carry,ready,0,,,,,,,ready,ready,3,,,,,,,,,,,,medium,farmers_carry_default,-0.010134973371184824,0.5456601036712527,False,67
4,133,1,0.9719606749713421,53.576746671989795,75.53702649883463,63.78971241598124,83.71432821289915,79.27048103395653,98.1100773750499,-3.504632255577058,0.004667436647046626,0.006513747010623588,0.16381041940449861,0.3693351282616286,0.3497534407119366,-0.010011261948021922,0.0019602804277807783,0.11535360108945839,0.026404460488613106,53.576746671989795,63.78971241598124,83.71432821289915,0.4416639794602047,0.5432843550300959,0.29700627706305255,0.4376384887000841,-0.10162037556989117,-0.14063221163703155,0.03972929503556221,0.04508575185929923,0.021926316770007177,79.27048103395653,98.1100773750499,-0.13372328526734167,-0.14754113800672133,farmers_carry,ready,0,,,,,,,ready,ready,4,,,,,,,,,,,,medium,farmers_carry_default,-0.010011261948021922,0.5457941012457013,False,100
5,167,1,0.9726065285503864,55.42776585158164,78.66536694781993,63.18561834688333,85.27759373352703,79.59795731934108,99.52154670729799,-3.650523604201109,0.00478065283691576,0.006654305099071714,0.16398239322605315,0.36939500500626754,0.3510327759291611,-0.0099361461671154,0.0022506541434836797,0.11549866283985995,0.026054108344638748,55.42776585158164,63.18561834688333,85.27759373352703,0.44160495032926694,0.5432798542469971,0.29718505968326814,0.43776220431745116,-0.10167490391773015,-0.14057714463418303,0.03960720525209509,0.04516001550647971,0.0229140259755493,79.59795731934108,99.52154670729799,-0.13354691834780544,-0.14760737092056048,farmers_carry,ready,0,,,,,,,ready,ready,5,,,,,,,,,,,,medium,farmers_carry_default,-0.0099361461671154,0.5458909792825579,False,134
6,200,1,0.9732619188725948,57.48959726591524,80.91221782156121,62.78275822873136,86.46718343394132,79.9722843449528,100.62751860060408,-3.780043693447892,0.004898061793627108,0.006815940422846722,0.16414858084526907,0.36943481683363016,0.3521646013168207,-0.009837377122019052,0.0024958773883307942,0.11563453093866186,0.026007697213081826,57.48959726591524,62.78275822873136,86.46718343394132,0.4415244449219624,0.5433363905026248,0.297345188745298,0.4378536950551183,-0.10181194558066242,-0.1405085063098203,0.039494581730128445,0.045207672930516585,0.023818656612393473,79.9722843449528,100.62751860060408,-0.13338293974003565,-0.14763407287960512,farmers_carry,ready,0,,,,,,,ready,ready,6,,,,,,,,,,,,medium,farmers_carry_default,-0.009837377122019052,0.5459892878308892,False,167
7,233,1,0.9735979177057743,59.415109114690296,83.13751582496909,62.38179582774948,87.83763113488777,80.15666966922994,101.99282903459884,-3.9037892424754426,0.0050468799592065915,0.006999854865198956,0.1643024363816101,0.36946198179481976,0.3530938354372776,-0.009729199637059186,0.0027378730128284905,0.11575072480302888,0.02614241484772516,59.415109114690296,62.38179582774948,87.83763113488777,0.4414232009699515,0.5433843073422738,0.29750076261968794,0.4379275376578362,-0.10196110637232231,-0.14042677503814827,0.03940275184573026,0.04524227830701699,0.024614211352182353,80.15666966922994,101.99282903459884,-0.13321675126020818,-0.14763679881608824,farmers_carry,ready,0,,,,,,,ready,ready,7,,,,,,,,,,,,medium,farmers_carry_default,-0.009729199637059186,0.5460396876558662,False,200
8,267,1,0.973982185125351,62.16313463927396,86.05155442321659,62.59887243516033,89.89318875198438,80.44063178649398,104.04237348718385,-3.9947214746106994,0.005152619228811049,0.007170039015482721,0.16446759438417846,0.3695030675525449,0.3542508387103,-0.009589888426904771,0.0029363537043966344,0.11589697880626762,0.02676840909243986,62.16313463927396,62.59887243516033,89.89318875198438,0.4413419077068778,0.5436247152741257,0.297664227398212,0.43801514034562383,-0.10228280756724789,-0.1403509129474118,0.0393134612302459,0.045258496503399075,0.025871036469205865,80.44063178649398,104.04237348718385,-0.13307908198842522,-0.1476227439063983,farmers_carry,ready,0,,,,,,,ready,ready,8,,,,,,,,,,,,medium,farmers_carry_default,-0.009589888426904771,0.5460973277688026,False,234
9,300,1,0.9743940196931362,66.74574971766958,89.50471019274633,64.45102864081134,93.26315833098835,80.45096205528306,105.38108358063404,-3.9784358355914744,0.005095555313703517,0.007257174022523526,0.1647029206218959,0.3696218137960509,0.3554411033058548,-0.009529676542235683,0.003025124839310039,0.11611264796920555,0.02793720551999677,66.74574971766958,64.45102864081134,93.26315833098835,0.44137810129441746,0.5445198521821347,0.29786552629768437,0.4381258254429547,-0.10314175088771727,-0.14026029914527033,0.039219766631526265,0.045264878121604075,0.027546533356538845,80.45096205528306,105.38108358063404,-0.1329020891000874,-0.14761850919045313,farmers_carry,ready,0,,,,,,,carrying,ready,1,,,,,,,,,,,,medium,farmers_carry_default,-0.009529676542235683,0.9961591029539704,True,0
10,333,1,0.9747390039265156,70.71150271441782,92.20010914712906,66.11702719533268,96.41801901352007,80.4144496417605,105.48845749969455,-3.826551928036763,0.004954887765475441,0.0072396099517586295,0.16504428692205056,0.3698258570792813,0.3567802631087017,-0.009525315979837249,0.0029583202994322086,0.11632632214063965,0.029520431246860428,70.71150271441782,66.11702719533268,96.41801901352007,0.44159552176181555,0.5456670990141821,0.298056192396747,0.43831202392161306,-0.10407157725236654,-0.14025583152486604,0.03911877481584506,0.04521754114713053,0.029438186577485776,80.4144496417605,105.48845749969455,-0.1328716522920897,-0.14764001075764235,farmers_carry,ready,0,,,,,,,ready,ready,1,,,,,,,,,,,,medium,farmers_carry_default,-0.009525315979837249,0.5462108505889773,False,33
11,367,1,0.9751768782734871,73.78983319087227,93.53695822547324,67.51178300564507,98.10902004791048,80.77943458562788,104.93354373774595,-3.6033999416821194,0.00462923360454915,0.007166336032364047,0.1654202553985562,0.37008662592460567,0.35790348553888207,-0.009547364707913446,0.0029103533805092956,0.11660066287259066,0.031290681601073796,73.78983319087227,67.51178300564507,98.10902004791048,0.44185300668346494,0.546733514947698,0.2983202451657464,0.4385345010197629,-0.10488050826423301,-0.14021425585401648,0.03903623412542112,0.045069388841946674,0.03129067537103708,80.77943458562788,104.93354373774595,-0.13271684559589766,-0.14771166611213532,farmers_carry,ready,0,,,,,,,ready,ready,2,,,,,,,,,,,,medium,farmers_carry_default,-0.009547364707913446,0.5462765317410231,False,67
12,400,1,0.9749942719936371,77.52719674142915,95.2168620202499,69.38130982042738,99.7942723882228,80.77510792997987,104.66197727675633,-3.285599730305812,0.004315569827036393,0.007048856739454151,0.1659425393178834,0.370343620297442,0.35899498264585494,-0.009609654793312892,0.0028577939815475494,0.11681284461309356,0.03284283189051523,77.52719674142915,69.38130982042738,99.7942723882228,0.4421273811293272,0.5476687809179047,0.2985598594655568,0.43875145072344457,-0.10554139978857752,-0.14019159125788777,0.03897878240153898,0.044866118533493086,0.03276593605704584,80.77510792997987,104.66197727675633,-0.1325912234142487,-0.1477919591015269,farmers_carry,ready,0,,,,,,,ready,ready,3,,,,,,,,,,,,medium,farmers_carry_default,-0.009609654793312892,0.5462491407990455,False,100
13,433,1,0.9748226627707481,81.25815090646383,97.71969507962015,71.09231978354177,102.07768156316558,80.72068182519587,104.50060072743105,-2.8858387322572012,0.0039719277738152784,0.006872656181400676,0.16659461887794924,0.3706212407314617,0.36001214813445376,-0.009630963113136437,0.0028598176416058207,0.1169425838795118,0.03424255498273862,81.25815090646383,71.09231978354177,102.07768156316558,0.44243229605158174,0.5485266789050695,0.2988101854113416,0.43904672331581646,-0.10609438285348771,-0.14023653790447488,0.03888500864621415,0.04461980615117733,0.03394561266135962,80.72068182519587,104.50060072743105,-0.13254078332331104,-0.1479322924856387,farmers_carry,ready,0,,,,,,,ready,ready,4,,,,,,,,,,,,medium,farmers_carry_default,-0.009630963113136437,0.5462233994156123,False,133
14,467,1,0.9740352556109428,85.42503802534881,100.22987420306693,73.68795799828743,104.83506872256946,80.41202217077772,104.60639291393903,-2.4693881601664307,0.003636564735347513,0.006592177968446083,0.16751237862013424,0.37092722676074386,0.3610380235656278,-0.009732854296334682,0.0028149311045478557,0.11700000890264481,0.03554369672662981,85.42503802534881,73.68795799828743,104.83506872256946,0.44280705017569705,0.5494694122994248,0.29904740334579066,0.43934808857980356,-0.10666236212372776,-0.1403006852340129,0.03884163435559078,0.044259245838734064,0.03485849079574064,80.41202217077772,104.60639291393903,-0.1325489859170224,-0.1480523845510035,farmers_carry,ready,0,,,,,,,carrying,ready,1,,,,,,,,,,,,medium,farmers_carry_default,-0.009732854296334682,0.9961052883416414,True,0
15,500,1,0.9732353240251541,88.13144512528567,103.00401703013578,75.151999332212,107.79892750000083,80.33418223825275,104.94027733929164,-2.043386291798366,0.003098469016590567,0.006283711860956631,0.16876364728477222,0.37130968922970486,0.361828240482106,-0.009809482065727347,0.00270483000317242,0.11699060403736904,0.03671623212903968,88.13144512528567,75.151999332212,107.79892750000083,0.4432484243795985,0.5502647519515272,0.29937095407981124,0.439696098348321,-0.10701632757192875,-0.14032514426850978,0.03876161471192696,0.04374553790850634,0.03556804684521077,80.33418223825275,104.94027733929164,-0.13247536681187688,-0.1481749217251427,farmers_carry,ready,0,,,,,,,ready,ready,1,,,,,,,,,,,,medium,farmers_carry_default,-0.009809482065727347,0.5459852986037731,False,33
16,533,1,0.9727943800389767,90.27353135235315,104.51775326574777,75.86781665666169,109.18030422679655,80.08269381525113,105.24993060076423,-1.6844680586176664,0.0026293506328781257,0.006027466888858589,0.1700230334292969,0.3716482441980125,0.3623629772716351,-0.009776652778772427,0.00260725257516932,0.11699639431048031,0.03775065186250431,90.27353135235315,75.86781665666169,109.18030422679655,0.44363107149580394,0.5509140728084146,0.29966541690022114,0.4400463713940024,-0.1072830013126107,-0.14038095449378124,0.038632749659457025,0.04320380641389062,0.036147013160470545,80.08269381525113,105.24993060076423,-0.13248994368882014,-0.14827196529874234,farmers_carry,ready,0,,,,,,,ready,ready,2,,,,,,,,,,,,medium,farmers_carry_default,-0.009776652778772427,0.5459191570058465,False,66
17,567,1,0.9724829271435738,91.8869941193185,106.71232843795485,76.35627651219586,110.74575545670395,79.81032006706997,105.65510864236118,-1.4319340672864935,0.0022715445831883296,0.005809992029791046,0.1713246771162183,0.37194824354159856,0.36286098682548296,-0.009644826683952876,0.002566970970245959,0.11696896519550853,0.03871493145710586,91.8869941193185,76.35627651219586,110.74575545670395,0.44396086502093596,0.5515208800594978,0.29993562206226115,0.4404219371640825,-0.10756001503856188,-0.14048631510182136,0.03852211223707981,0.04280025901584418,0.03662835239854778,79.81032006706997,105.65510864236118,-0.13261119255142054,-0.1483614376522221,farmers_carry,ready,0,,,,,,,ready,ready,3,,,,,,,,,,,,medium,farmers_carry_default,-0.009644826683952876,0.545872439071536,False,100
18,600,1,0.9720376133918762,92.56019427018667,110.04493422528579,76.42008468552486,114.21920065360925,79.41982692594168,105.41811484068035,-1.1844021461017835,0.001949047593009481,0.005612872386735839,0.17274720261907503,0.37219832013765686,0.36330172818681045,-0.009426216996725271,0.0025458808417092005,0.1170522044612985,0.03957943821764466,92.56019427018667,76.42008468552486,114.21920065360925,0.44426661732554085,0.5522621118584539,0.30013002294977287,0.4408264492480328,-0.10799549453291302,-0.14069642629825996,0.03850102492493269,0.042461071462015915,0.03702769309619043,79.41982692594168,105.41811484068035,-0.1328784649821795,-0.14851438761434033,farmers_carry,ready,0,,,,,,,ready,ready,4,,,,,,,,,,,,medium,farmers_carry_default,-0.009426216996725271,0.5458056420087815,False,133
