frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean
1,33,1,0.7437457498162985,167.71620037942915,156.58258163538068,164.3824775640565,144.74342081256245,91.79209147151107,71.85432169690091,-8.045676211348692,0.008553951978683472,-0.003986001014709473,0.6877648234367371,0.44033100455999374,0.595143511891365,-0.2672843337059021,-0.276096373796463,0.05577584089695254,0.04549873989484943,156.58258163538068,144.74342081256245,164.3824775640565,0.5711884498596191,0.7464295625686646,0.30947355926036835,0.2994980961084366,-0.1752411127090454,0.009975463151931763,0.029407918453216553,0.010253190994262695,0.002938985824584961,71.85432169690091,91.79209147151107,-0.000700533390045166,0.02065145969390869,skierg,unknown,0,,,,,,,unknown,unknown,1,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.2994980961084366,0.012798041105270386,162.14939100740492
2,67,1,0.743741724640131,167.52919842624846,156.5770972082293,164.44352628283403,143.7396742375475,91.4061724032366,72.83516798020058,-7.949614367875067,0.00871089580804528,-0.003911665386481813,0.6881766172444829,0.4404049036754568,0.5951467794522005,-0.26750964787116227,-0.274007448052101,0.05288675422755987,0.045126346596723196,156.5770972082293,143.7396742375475,164.44352628283403,0.5711840274537585,0.7465123258704313,0.30962577989715495,0.3004254794921269,-0.17532829841667275,0.009200300405028061,0.029248291635786582,0.010377580931833823,0.0030418920146801525,72.83516798020058,91.4061724032366,-0.0003598802827048432,0.018760481092760913,skierg,unknown,0,,,,,,,unknown,unknown,1,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.30042547949212695,0.01040946556742045,162.05314781723888
3,100,1,0.7415846064686775,167.34562307232528,157.16605808166997,165.350137608976,143.0568005967304,89.8877244638542,75.42201151813333,-7.794416232297354,0.008886336515836403,-0.0038228659581875336,0.6885951090405767,0.4404518292603778,0.5954902911122675,-0.27137788838376603,-0.2748074073283502,0.04936828271465717,0.04433224471453131,157.16605808166997,143.0568005967304,165.350137608976,0.5711998858196305,0.746622356342892,0.3097037727011251,0.2981072379635724,-0.17542247052326143,0.011596534737552677,0.02726422781198489,0.009697939300220006,0.002882226819555737,75.42201151813333,89.8877244638542,0.003527174028248601,0.01966589544685668,skierg,unknown,0,,,,,,,unknown,unknown,1,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.2981072379635724,0.007252384902771691,162.25584057699763
4,133,1,0.7417858857661486,167.27857780741846,157.7736178906007,166.26687453448548,142.04123514233171,89.70539556492764,78.19110447233922,-7.674230877967513,0.009787258967439446,-0.003620885142912296,0.6886135267007147,0.44020912383493466,0.5963925370364034,-0.2861936437642168,-0.2857981135844728,0.045838676665804434,0.04337864137043979,157.7736178906007,142.04123514233171,166.26687453448548,0.5711224048271635,0.7466205848983306,0.30929584284270584,0.2851265261528187,-0.17549818007116713,0.024169316689887144,0.025533149295946897,0.008423496440729499,0.002620138973619798,78.19110447233922,89.70539556492764,0.017663009724583328,0.03067562365519107,skierg,unknown,0,,,,,,,return,unknown,1,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.28512652615281864,0.003225354963168281,162.52609784900957
5,167,1,0.7403663452714682,167.28207790452112,158.6146484047106,167.19680091872254,141.84198392860912,91.12180300966754,79.53055120636088,-7.515814787236105,0.010811643502183454,-0.003439911360540297,0.6884878960580207,0.4399349851287253,0.5975425513766429,-0.30361437733273017,-0.2994369219421309,0.04848004624113803,0.042449818250933094,158.6146484047106,141.84198392860912,167.19680091872254,0.5710579509427957,0.7465012132641183,0.3088120193146551,0.26953230130536515,-0.17544326232132268,0.03927971800928992,0.02334904588336782,0.006848587473459898,0.0021105683460040077,79.53055120636088,91.12180300966754,0.03424266827322769,0.0443167677453522,skierg,unknown,0,,,,,,,top,unknown,1,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.2695323013053651,0.0007375440300589342,162.94836315461586
6,200,1,0.7356538996100426,167.1679084149985,159.40184550580778,168.06994780347998,142.7498095340502,92.62181464664641,79.80563643022916,-7.433178496434006,0.01177445380716711,-0.0033428991766223316,0.6886954544100209,0.4396915047706927,0.5989850283742907,-0.3180173405305315,-0.3068420500711933,0.056229739722166903,0.041718326212157396,159.40184550580778,142.7498095340502,168.06994780347998,0.5710329728561965,0.7463450233041102,0.30835003668518873,0.25860327755533413,-0.17531205044791376,0.0497467591298546,0.02059809299597695,0.00440134660977661,0.001222637488750689,79.80563643022916,92.62181464664641,0.04777572786762895,0.0517177903920802,skierg,unknown,0,,,,,,,top,unknown,2,,,,,,,,,,,,medium,skierg_default,,,,,,,,0,0.2586032775553342,0.0078323912827159,163.28487696040315
7,233,1,0.7333098277449608,166.88436792286242,159.774166491492,168.92584129379856,143.21744475565714,94.70691313837327,80.42502833656233,-7.386421319993942,0.012848395878014798,-0.0032094736830846553,0.6889260241684017,0.4392219162783766,0.6006452636806064,-0.3304961621601018,-0.3177191538565111,0.057667342744411224,0.041182256309443964,159.774166491492,143.21744475565714,168.92584129379856,0.570877486404243,0.7461258704496816,0.3075663461525102,0.24676982839593653,-0.17524838404543863,0.06079651775657369,0.017914174834185864,0.0019734724573845655,0.0004346986623655714,80.42502833656233,94.70691313837327,0.05915608712781928,0.06243694838532809,skierg,top,0,,,,,,,top,top,3,,,,,,,,,,,,medium,skierg_default,,,,,,,0,0,0.24676982839593653,0.009567534620505969,163.32926720717722
8,267,1,0.7282489463686943,166.2921740707792,161.13065101084678,167.13262425353633,142.64485299009687,98.08724975123451,79.51626506905752,-7.70111892589265,0.014796472590557686,-0.0030042536931662867,0.6881615421116567,0.4394645803358464,0.6011627403594709,-0.3472034174269086,-0.32945327993163154,0.05850627037189535,0.04071139044236901,161.13065101084678,142.64485299009687,167.13262425353633,0.5707876148220028,0.7458325646736376,0.30814154584969,0.23245926614273274,-0.17504494985163477,0.07568227970695726,0.016173430119029025,0.0003213709200165017,0.0002824534398544397,79.51626506905752,98.08724975123451,0.07565698531273378,0.07570757410118072,skierg,top,0,,,,,,,top,top,4,,,,,,,,,,,,medium,skierg_default,,,,,,,34,0,0.2324592661427327,0.014745883802110754,163.711412540813
9,300,1,0.7241345820948482,165.73327557203166,161.66121803123468,163.81058728530613,144.76983030975276,100.0024282320101,79.08791962911143,-8.823143462851325,0.016215055435154,-0.0027707870783954566,0.6865647784481794,0.44007172140105033,0.6013305843212675,-0.36445207753728986,-0.34556010229403655,0.05293507685525862,0.040184712029859064,161.66121803123468,144.76983030975276,163.81058728530613,0.5707522657848678,0.7456215105539301,0.309391177017233,0.21574617586920458,-0.1748692447690623,0.09364500114802843,0.01601027410544049,0.0016009507067618878,0.00022862203140389537,79.08791962911143,100.0024282320101,0.0935980675128804,0.09369193478317651,skierg,top,0,,,,,,,top,top,5,,,,,,,,,,,,medium,skierg_default,,,,,,,67,0,0.21574617586920453,0.016121188164857886,163.69724680163318
10,333,1,0.7237999746575952,165.22881898991892,161.9698134859372,160.50387256130617,147.5453357880087,101.29865554652876,77.43876241403383,-10.591968865085414,0.016491511127987395,-0.002592404275132637,0.6844529400759365,0.440886294287346,0.6009317560049023,-0.37775112633620617,-0.3561982843161749,0.04657865227885232,0.03954717791823351,161.9698134859372,147.5453357880087,160.50387256130617,0.5707275845238552,0.7454465677206921,0.3110450040508369,0.20375287919766463,-0.17471898319683687,0.10729212485317227,0.017697740626887414,0.0017057433115678174,0.0006456629128908752,77.43876241403383,101.29865554652876,0.1085265881616279,0.10605766154471664,skierg,top,0,,,,,,,top,top,6,,,,,,,,,,,,medium,skierg_default,,,,,,,100,0,0.20375287919766463,0.01896043774489864,163.59931623792806
