frame_index,timestamp_ms,pose_detected,visible_score,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,torso_angle,shoulder_tilt,hip_tilt,body_center_x,body_center_y,body_height_norm,left_wrist_to_hip_y,right_wrist_to_hip_y,wrist_distance_norm,ankle_distance_norm,min_knee_angle,min_hip_angle,max_hip_angle,hip_center_y,knee_center_y,shoulder_center_y,wrist_center_y,hip_knee_depth,wrist_above_shoulder,hip_width,knee_width,ankle_width,min_elbow_angle,max_elbow_angle,left_wrist_above_shoulder,right_wrist_above_shoulder,action,phase,rep_count,feedback_codes,feedback_texts,stand_hip_center_y,hip_drop,hip_motion_tolerance,hip_drop_min,raw_phase,stable_phase,frames_in_phase,last_rep_time_ms,bottom_seen,bottom_depth_met,stand_seen,extension_seen,extension_pending,selected_hip_angle,selected_elbow_angle,just_completed_rep,confirmation_frames,rep_cooldown_ms,sensitivity,config_name,wrist_to_hip,carrying_score,motion_detected,stationary_ms,stroke_count,elbow_angle_mean,phase_duration_ms,pull_count,wrist_height_mean,wrist_asymmetry,knee_angle_mean,body_center_delta_x,feet_stagger_score,step_count,ankle_delta,drive_score
11,367,1,0.7038282952271402,148.08347525358639,128.09680858234188,113.70330118587788,120.60397674959786,,99.80837776875956,70.24010938506026,0.06993614575129353,0.05611970004761407,0.460091293465101,0.244841762453282,0.49912880862080805,,0.17354679358141475,,0.09023932770872986,128.09680858234188,113.70330118587788,120.60397674959786,0.3352194012052761,0.5942057953880169,0.15446412370128795,,-0.2589863941827408,,0.004265094224662924,0.032062823392128396,0.013407464915790835,99.80837776875956,99.80837776875956,,-0.3473938482335632,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,11,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,138.09014191796413,0.0007604317918525338,,0,0.002319850687947489,0.19759890614939737
12,400,1,0.7071042953757569,148.83068631340157,132.16743555985718,112.31787215161135,121.66001104654933,,100.03135315109785,70.24614014692,0.06685794187322057,0.05327569873884698,0.4602397161518977,0.2435166361303212,0.5028493279679194,,0.17346546399222526,,0.07236807140570761,132.16743555985718,112.31787215161135,121.66001104654933,0.3346513704040266,0.5911691417313115,0.15238190185661582,,-0.2565177713272849,,0.0047250315299810575,0.02514244544328393,0.009560895121629423,100.03135315109785,100.03135315109785,,-0.34894381097244925,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,12,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,140.49906093662938,0.0001484226867966565,,0,0.017871256303022248,0.19753859853080002
13,433,1,0.7103896219050512,149.14550939594943,135.83084538707442,111.49343407030815,122.50519839017677,,100.19036052126391,70.34605259681494,0.06356219472769549,0.049655027539312134,0.4622320010095111,0.24190694335917282,0.504650107584573,,0.17268864620542623,,0.05872001596376969,135.83084538707442,111.49343407030815,122.50519839017677,0.3336411472561478,0.5867826156044029,0.15017273946219775,,-0.2531414683482551,,0.00541945255257037,0.02020287599300561,0.006740401881617967,100.19036052126391,100.19036052126391,,-0.34920347040518457,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,reset,reset,13,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,142.48817739151193,0.0019922848576134355,,0,0.013648055441937923,0.19653947403185057
14,467,1,0.715744337067008,148.05474716497974,136.85719471605444,109.77716440954642,121.50593627352468,,100.02977777008364,70.47913027470045,0.06043023531631307,0.04513601637634107,0.4661271355817487,0.240025088398543,0.5061756734378499,,0.1736585880289908,,0.04913472255071369,136.85719471605444,109.77716440954642,121.50593627352468,0.33202012361673827,0.5839621597973399,0.14803005318034773,,-0.2519420361806016,,0.006759792627908882,0.018635700238500284,0.002564903892785179,100.02977777008364,100.02977777008364,,-0.3500015489953953,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,reset,1,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,142.4559709405171,0.0038951345722375574,,0,0.009585293413056,0.4452086972529955
15,500,1,0.7186767887324095,147.76959488041837,138.88991765954293,109.05323787968892,121.86084500712852,,99.66967895374685,70.59751348002015,0.057679337607062196,0.042081758776666804,0.4706167747382399,0.23829669321498995,0.5068333641998254,,0.17369712362994164,,0.04091317328357166,138.88991765954293,109.05323787968892,121.86084500712852,0.3304402978945441,0.5803124013821176,0.14615308853543582,,-0.2498721034875735,,0.00739283435569084,0.014938814723169595,0.0003533260336735881,99.66967895374685,99.66967895374685,,-0.35018554357385223,sled_push,reset,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,reset,2,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,143.32975626998063,0.004489639156491199,,0,0.008221549267142025,0.44402486519979845
16,533,1,0.7214537248946726,147.86346653574878,140.81506430088163,108.8816354784643,122.3189666400965,,99.16744763205271,70.70580623885914,0.05491377877123301,0.03923328686390678,0.47509028194945746,0.23675027985599276,0.5071681653381752,,0.17398157836922878,,0.03470972585642919,140.81506430088163,108.8816354784643,122.3189666400965,0.32895169640696303,0.5768221322833134,0.14454886330502248,,-0.24787043587635033,,0.00790666745668774,0.012562954688448376,0.0012453494267462043,99.16744763205271,99.16744763205271,,-0.3505441655175063,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,3,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,144.33926541831522,0.004473507211217587,,0,0.006203447427142475,0.44294193761140865
17,567,1,0.7241957534570247,145.0543810036042,143.36699341896258,107.25598279681756,124.3951881954385,,98.56704303979946,70.87082222680927,0.051569994842125745,0.03461660122372608,0.48112821486420143,0.23419535354694387,0.5081015837783678,,0.1773303191584826,,0.03353098888480881,143.36699341896258,107.25598279681756,124.3951881954385,0.32561604813559275,0.5720709971165715,0.142774658958295,,-0.24645494898097875,,0.008681107873084789,0.007720428057861225,0.013253241071298454,98.56704303979946,98.56704303979946,,-0.3516950115265805,sled_push,drive,0,TORSO_TOO_LOW,身体压得过低，保持稳定前倾，不要塌腰,,,,,drive,drive,4,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,144.21068721128339,0.006037932914743971,,0,0.0027841597045081823,0.4412917777319073
18,600,1,0.7286455400753766,145.19139617757594,147.50997495791572,106.33737044119458,128.1518898480637,,98.17744218790695,71.1968085931211,0.04221782738603673,0.028473593313035617,0.489047941543497,0.23232138996680055,0.5083549791647968,,0.1774151182021899,,0.05844436332650416,145.19139617757594,106.33737044119458,128.1518898480637,0.3217236021822947,0.5662534173342271,0.14291917775130647,,-0.2445298151519324,,0.010944975805384515,0.034102831563438345,0.049810480598851674,98.17744218790695,98.17744218790695,,-0.34934742559667753,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,5,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,146.3506855677458,0.00791972667929558,,0,0.024913374441695356,0.43803191406878894
19,633,1,0.7268826649524271,142.89729448759394,151.01798968828479,104.92227767023348,132.171733936411,,97.69221090544029,71.32811922701474,0.032824550257120715,0.02301122261340902,0.49655436481683507,0.2313391600352277,0.5092971428207702,,0.17931143411232336,,0.08240876065486802,142.89729448759394,104.92227767023348,132.171733936411,0.31941937152176325,0.5617729869245547,0.14325894854869212,,-0.24235361540279143,,0.01285970828482803,0.06280149547042692,0.07729233644770488,97.69221090544029,97.69221090544029,,-0.3505651932635387,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,6,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,146.95764208793935,0.007506423273338059,,0,0.023964397328363855,0.4367188077298526
20,667,1,0.7272968522738665,141.81015318955352,154.00425969517315,104.53180551394928,135.0323229254501,,97.17280576782667,71.43271936251934,0.02660298876619166,0.019326874393138262,0.5030745402743475,0.23011224025001384,0.5098335903245449,,0.17866825297808375,,0.09393379965261743,141.81015318955352,104.53180551394928,135.0323229254501,0.317203824198769,0.5568320849998191,0.14302065630125865,,-0.23962826080105004,,0.013301745627219929,0.07968083288695824,0.09086134532351298,97.17280576782667,97.17280576782667,,-0.34921336368906747,sled_push,drive,0,TORSO_TOO_LOW | SHORT_STEPS,身体压得过低，保持稳定前倾，不要塌腰 | 步幅过小，尝试稳定连续地蹬地,,,,,drive,drive,7,,,,,,,,,,,,medium,sled_push_default,,,,,,,,,,,147.90720644236333,0.006520175457512434,,0,0.011525038997749412,0.43567280637480665
