frame_index,timestamp_ms,state,rep_count,pose_detected,pelvis_displacement_normalized,paused,message
942,3391801937,READY,0,1,-0.00026810021,0,
943,3391802046,READY,0,1,-0.00083925646,0,
944,3391802140,READY,0,1,-2.8176016e-05,0,
945,3391802234,READY,0,1,0.00037849009,0,
946,3391802343,READY,0,1,0.0007570426,0,
947,3391802437,READY,0,1,0.0068730417,0,
948,3391802546,READY,0,1,0.022248534,0,
949,3391802640,READY,0,1,0.034252525,0,
950,3391802750,READY,0,1,0.051024411,0,
951,3391802843,READY,0,1,0.070460645,0,
952,3391802937,DESCENT,0,1,0.096737177,0,
953,3391803031,DESCENT,0,1,0.12545907,0,
954,3391803140,DESCENT,0,1,0.16201273,0,
955,3391803234,DESCENT,0,1,0.20400298,0,
956,3391803328,DESCENT,0,1,0.24872347,0,
957,3391803437,DESCENT,0,1,0.27748876,0,
958,3391803546,DESCENT,0,1,0.30352814,0,
959,3391803640,DESCENT,0,1,0.32429725,0,
960,3391803734,DESCENT,0,1,0.3494293,0,
961,3391803828,DESCENT,0,1,0.37673585,0,
962,3391803953,DESCENT,0,1,0.40172118,0,
963,3391804046,DESCENT,0,1,0.43558875,0,
964,3391804140,DESCENT,0,1,0.46454239,0,
965,3391804234,DESCENT,0,1,0.49313675,0,
966,3391804343,DESCENT,0,1,0.51687355,0,
967,3391804437,DESCENT,0,1,0.5427623,0,
968,3391804546,BOTTOM,0,1,0.5587932,0,
969,3391804640,BOTTOM,0,1,0.5629782,0,
970,3391804750,BOTTOM,0,1,0.55684706,0,
971,3391804843,ASCENT,0,1,0.53079846,0,
972,3391804937,ASCENT,0,1,0.48254125,0,
973,3391805031,ASCENT,0,1,0.42748971,0,
974,3391805140,ASCENT,0,1,0.36923229,0,
975,3391805250,ASCENT,0,1,0.31083126,0,
976,3391805343,ASCENT,0,1,0.26095084,0,
977,3391805437,ASCENT,0,1,0.20638219,0,
978,3391805546,ASCENT,0,1,0.15342862,0,
979,3391805640,READY,1,1,0.086420771,0,
980,3391805734,READY,1,1,0.047003677,0,
981,3391805828,READY,1,1,0.02889537,0,
982,3391805937,READY,1,1,0.016058004,0,
983,3391806046,READY,1,1,0.014063009,0,
984,3391806140,READY,1,1,0.011878119,0,
985,3391806234,READY,1,1,0.010385178,0,
986,3391806343,READY,1,1,0.0099175586,0,
987,3391806437,READY,1,1,0.013396699,0,
988,3391806531,READY,1,1,0.014860077,0,
989,3391806640,READY,1,1,0.014217779,0,
990,3391806750,READY,1,1,0.014095526,0,
991,3391806843,READY,1,1,0.013860852,0,
992,3391806937,READY,1,1,0.013122508,0,
993,3391807031,READY,1,1,0.013410366,0,
994,3391807140,READY,1,1,0.013604697,0,
995,3391807234,READY,1,1,0.015803778,0,
996,3391807343,READY,1,1,0.025681759,0,
997,3391807437,READY,1,1,0.045613425,0,
