frame_index,timestamp_ms,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_shoulder_angle,right_shoulder_angle,trunk_tilt_proxy,left_wrist_speed,right_wrist_speed,left_ankle_speed,right_ankle_speed,pelvis_speed,shoulder_center_speed,left_elbow_angular_velocity,right_elbow_angular_velocity,left_knee_angular_velocity,right_knee_angular_velocity,left_hip_angular_velocity,right_hip_angular_velocity,motion_energy_proxy,pose_detected,visibility_mean,missing_ratio
1699,3570307109,128.45577,139.14715,,,,170.79023,17.632964,31.38165,0.085148299,0.15562613,0.70911871,0.093863836,0.13465677,0.088334089,0.30142318,-84.887286,-70.175484,,,,-2.4744901,0.85115302,1,0.78007414,0.21212121
1700,3570307171,130.09275,145.12521,,,151.86935,170.48635,9.8846294,23.422589,0.19464619,2.2971018,2.6305956,0.20729642,0.35960312,0.02099432,1.0206623,26.402984,96.420361,,,,-4.9012506,4.0002171,1,0.78306839,0.18181818
1701,3570307250,135.67649,150.13091,,,156.21691,169.39133,9.2762276,18.030608,0.48446359,1.5331436,1.3692208,0.25873207,0.16382235,0.089473828,0.51002819,70.68014,63.363232,,,55.032367,-13.86102,2.4775243,1,0.78542856,0.18181818
1702,3570307312,155.94381,154.32614,,,174.26894,173.90882,15.95358,33.43042,2.8153428,0.37268769,2.1456365,0.34205349,0.50908843,0.36137103,0.3506629,326.89232,67.66507,,,291.1618,72.862805,2.6756851,1,0.78422616,0.18181818
1703,3570307390,164.06889,157.44293,,,170.35038,175.09729,21.296895,30.455164,0.11008519,5.3905396,6.5038089,0.41864528,0.36711382,0.46727988,1.7558576,104.16768,39.958765,,,-50.237985,15.23671,9.7809208,1,0.79020426,0.18181818
1704,3570307453,148.42731,159.38742,,,173.37322,174.21532,20.981794,24.093646,0.51673783,2.4704243,1.9014301,0.42712051,0.39524543,0.43905382,0.4442659,-248.27903,30.865042,,,47.981535,-13.999484,4.1291276,1,0.7839569,0.18181818
1705,3570307515,154.9839,161.06963,,,172.10204,173.6238,20.537958,24.764025,0.95454834,0.81920388,0.77951857,0.64338292,0.41118711,0.28290119,0.29398268,105.75148,27.132444,,,-20.502788,-9.5407319,2.009228,1,0.78626352,0.18181818
1706,3570307578,156.6178,149.17005,,,178.12624,169.96841,15.155056,26.513411,1.5375564,0.38920667,1.2514969,0.21256066,0.34837026,0.16877925,0.96660094,25.934969,-188.88232,,,95.622251,-58.022049,1.6797724,1,0.77834172,0.18181818
1707,3570307640,158.00135,159.08722,,,172.65534,163.98585,17.428475,21.412653,0.86554161,0.39120341,1.5918647,0.64560723,0.52679218,0.074473504,0.33729299,22.315185,159.95436,,,-88.240412,-96.492853,2.1479743,1,0.77989506,0.18181818
1708,3570307703,,,,,,,,,,,,,,,,,,,,,,,0,,1
1709,3570307781,,,,,,,,,,,,,,,,,,,,,,,0,,1
1710,3570307843,,,,,,,,,,,,,,,,,,,,,,,0,,1
1711,3570307890,174.91995,162.48598,158.74178,122.08584,20.683064,18.671999,147.2308,147.2846,0.044099956,4.8073946,4.8489774,4.9257127,5.0563454,0.65675938,1.9987896,67.674435,13.595064,,,-607.8891,-581.2554,12.890067,1,0.78264841,0.060606061
1712,3570307953,,,,,,,,,,,,,,,,,,,,,,,0,,1
1713,3570308015,,,,,,,,,,,,,,,,,,,,,,,0,,1
1714,3570308078,,,,,,,,,,,,,,,,,,,,,,,0,,1
1715,3570308140,,,,,,,,,,,,,,,,,,,,,,,0,,1
1716,3570308187,,,,,,,,,,,,,,,,,,,,,,,0,,1
1717,3570308250,,,,,,,,,,,,,,,,,,,,,,,0,,1
1718,3570308312,,,,,,,,,,,,,,,,,,,,,,,0,,1
1719,3570308375,,,,,,,,,,,,,,,,,,,,,,,0,,1
1720,3570308437,,,,,,,,,,,,,,,,,,,,,,,0,,1
1721,3570308515,159.1853,153.87793,,,169.7305,178.20787,17.997256,26.255016,0.96958807,1.9305382,1.9137729,2.2348763,2.039919,0.086279745,0.74424558,-25.175445,-13.772892,,,238.47589,255.2574,5.1069107,1,0.78368082,0.18181818
